Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0603_1608Metric",4.550000,-3.900000,-90.000000,top
"C2","22p","C_0603_1608Metric",4.550000,-4.200000,90.000000,top
"C3","100n","C_0603_1608Metric",5.110000,-3.815000,180.000000,top
"C4","1u","C_0603_1608Metric",5.071024,-4.210000,0.000000,top
"C5","100n","C_0603_1608Metric",5.070000,-4.300000,0.000000,top
"C6","33n","C_0603_1608Metric",4.620000,-4.451024,-90.000000,top
"C7","33n","C_0603_1608Metric",4.885000,-4.450000,90.000000,top
"C8","33n","C_0603_1608Metric",5.250000,-4.150000,180.000000,top
"C9","33n","C_0603_1608Metric",5.450000,-4.150000,180.000000,top
"J1","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",4.600000,-4.600000,90.000000,top
"LOGO2","LOGO","Whatnick_logo",5.550000,-3.900000,-90.000000,top
"R1","10R","R_0603_1608Metric",4.984016,-3.815000,0.000000,top
"R2","1K","R_0603_1608Metric",4.800000,-4.450000,-90.000000,top
"R3","1K","R_0603_1608Metric",4.700000,-4.450000,-90.000000,top
"R4","2.4R","R_0603_1608Metric",5.300000,-4.400000,-90.000000,top
"R5","2.4R","R_0603_1608Metric",5.400000,-4.400000,90.000000,top
"R6","1K","R_0603_1608Metric",5.450000,-4.250000,0.000000,top
"R7","1K","R_0603_1608Metric",5.250000,-4.250000,180.000000,top
"R8","10K","R_0603_1608Metric",4.945000,-4.235000,-90.000000,top
"U1","MCP39F511-E_MQ","QFN50P500X500X100-29N",5.050000,-4.000000,0.000000,top
"U2","MCP9700T-ETT","SOT-23",5.307510,-3.890229,0.000000,top
"Y1","4MHz / 16pF","Crystal_SMD_HC49-SD",4.750000,-4.050000,90.000000,top
